file_origin	stimulus	brain_region
2025_03_03_0007.abf	75	CA1
2025_03_03_0007.abf	75	CA1
2025_03_03_0007.abf	75	CA1
2025_03_03_0007.abf	100	CA1
2025_03_03_0007.abf	100	CA1
2025_03_03_0007.abf	100	CA1
2025_03_03_0007.abf	150	CA1
2025_03_03_0007.abf	150	CA1
2025_03_03_0007.abf	150	CA1
2025_03_03_0007.abf	200	CA1
2025_03_03_0007.abf	200	CA1
2025_03_03_0007.abf	200	CA1
2025_03_03_0007.abf	250	CA1
2025_03_03_0007.abf	250	CA1
2025_03_03_0007.abf	250	CA1
2025_03_03_0007.abf	300	CA1
2025_03_03_0007.abf	300	CA1
2025_03_03_0007.abf	300	CA1
2025_03_03_0007.abf	400	CA1
2025_03_03_0007.abf	400	CA1
2025_03_03_0007.abf	400	CA1
2025_03_03_0007.abf	500	CA1
2025_03_03_0007.abf	500	CA1
2025_03_03_0007.abf	500	CA1
